team,team_id,player,player_id,home_away,count
Colo-Colo,,Claudio Aquino,1645d166,home,1
Colo-Colo,,Arturo Vidal,67cdbc0e,home,1
Colo-Colo,,Alan Saldivia,b084cda6,home,1
O'Higgins,,Bryan Rabello,ad052490,away,1
O'Higgins,,Juan Leiva,a246f365,away,1
