team_name,home_away,total_players,starters,substitutes,goals,assists,shots,shots_on_target,passes_completed,passes_attempted,pass_accuracy,yellow_cards,red_cards,fouls_committed,fouls_drawn,corners,offsides,possession_touches,tackles,interceptions,blocks,clearances
Colo-Colo,home,15,0,15,0,0,18,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0
O'Higgins,away,15,0,15,1,1,14,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
