team,home_away,player,player_id,player_number,count
Colo-Colo,home,Claudio Aquino,1645d166,10,1
Colo-Colo,home,Arturo Vidal,67cdbc0e,23,1
Colo-Colo,home,Alan Saldivia,b084cda6,4,1
O'Higgins,away,Bryan Rabello,ad052490,10,1
O'Higgins,away,Juan Leiva,a246f365,11,1
